timestamp,signal,price,btc_amount,usd_amount,reason,portfolio_value,position_type,market_regime,portfolio_heat,position_size_pct,entry_price,entry_reason
2024-10-11 13:00:00,SELL,61676.0,0.00598763325,369.293268327,Technical: RSI overbought (68.0) or above BB upper,7461.95512218,SELL,SIDEWAYS,0.0,,,
2024-10-11 14:00:00,SELL,61753.65,0.0050894882625,314.29447684153314,Technical: RSI overbought (69.0) or above BB upper,7464.589780603887,SELL,SIDEWAYS,0.0,,,
2024-10-11 15:00:00,SELL,62259.05,0.004326065023125,269.33669857799055,Technical: RSI overbought (74.7) or above BB upper,7479.16573568847,SELL,SIDEWAYS,0.0,,,
2024-10-11 16:00:00,SELL,62272.0,0.00367715526965625,228.98381295203401,Technical: RSI overbought (74.9) or above BB upper,7479.483196760083,SELL,SIDEWAYS,0.0,,,
2024-10-11 19:00:00,SELL,63086.01,0.0031255819792078126,197.18049599612385,Technical: RSI overbought (81.4) or above BB upper,7496.444896672716,SELL,STEADY_BULL,0.0,,,
2024-10-12 15:00:00,BUY,63157.49,0.018695669944155308,1180.7715875412894,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7497.710924072,BUY,STEADY_BULL,0.0,0.18510035419126328,,
2024-10-13 01:00:00,BUY,62879.26,0.015302507511513594,962.2103484684163,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7487.581320670346,BUY,STEADY_BULL,0.008767130024043345,0.18510035419126328,,
2024-10-13 08:00:00,BUY,62809.99,0.012483760499888849,784.1048721604136,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7483.999382223694,BUY,STEADY_BULL,0.016170787833991906,0.18510035419126328,,
2024-10-13 11:00:00,BUY,62561.33,0.007856497131576889,491.51290969263516,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7468.037009313615,BUY,SIDEWAYS,0.02095734924747603,0.1423848878394333,,
2024-10-13 14:00:00,BUY,62249.6,0.006771592093353465,421.5288991744158,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7445.576842145092,BUY,SIDEWAYS,0.022706382271437297,0.1423848878394333,,
2024-10-13 15:00:00,BUY,62229.31,0.005809313234300474,361.5095541443868,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7443.977550696237,BUY,SIDEWAYS,0.025942303586073828,0.1423848878394333,,
2024-10-13 16:00:00,BUY,62629.1,0.0049503514632120655,310.03605682465474,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7477.812166844315,BUY,SIDEWAYS,0.032303323013676444,0.1423848878394333,,
2024-10-13 17:00:00,BUY,62515.59,0.004253204802953889,265.89160764749613,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7467.643790859971,BUY,SIDEWAYS,0.03374590749146573,0.1423848878394333,,
2024-10-13 21:00:00,BUY,62895.11,0.0036256023864996937,228.03266091516076,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7503.255870887238,BUY,SIDEWAYS,0.03956230200072918,0.1423848878394333,,
2024-10-13 22:00:00,BUY,62837.99,0.0031121978291639833,195.56425606702808,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7497.688948245475,BUY,SIDEWAYS,0.04080894823098279,0.1423848878394333,,
2024-10-14 05:00:00,BUY,63941.54,0.0022295526850196878,142.56103219129378,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7608.675540933616,BUY,SIDEWAYS,0.053773823757379276,0.1210271546635183,,
2024-10-14 08:00:00,SELL,64427.99,0.012441819126937108,801.6013982921127,Technical: RSI overbought (68.6) or above BB upper,7658.683515847389,SELL,STEADY_BULL,0.05994416539810701,,,
2024-10-14 11:00:00,SELL,64920.06,0.010936021159165771,709.9671498143114,Technical: RSI overbought (73.0) or above BB upper,7703.14699139345,SELL,STEADY_BULL,0.05606624537164347,,,
2024-10-14 12:00:00,SELL,64868.05,0.009612465634931906,623.5419014300446,Technical: RSI overbought (71.7) or above BB upper,7699.01614704647,SELL,SIDEWAYS,0.04763404846384765,,,
2024-10-14 13:00:00,SELL,65150.01,0.008449096269835248,550.4587064707291,Technical: RSI overbought (74.3) or above BB upper,7718.700218698539,SELL,SIDEWAYS,0.04224062861166309,,,
