timestamp,portfolio_value,btc_price,position,btc_holdings,cash_balance,active_positions,stop_losses_today,borrowed_amount,total_borrowing_costs,net_equity,daily_return,running_max,drawdown
2024-10-10 16:00:00,7406.9535214966,60298.12,Mixed: 0.0606 BTC + $3750.00 cash,0.06064788622757393,3750.0,1,0,0.0,0.0,7406.9535214966,,7406.9535214966,0.0
2024-10-10 17:00:00,7365.281752390772,59611.01,Mixed: 0.0606 BTC + $3750.00 cash,0.06064788622757393,3750.0,1,0,0.0,0.0,7365.281752390772,-0.005626033562231347,7406.9535214966,-0.0056260335622313395
2024-10-10 18:00:00,7358.671132791967,59502.01,Mixed: 0.0606 BTC + $3750.00 cash,0.06064788622757393,3750.0,1,0,0.0,0.0,7358.671132791967,-0.0008975379111139103,7406.9535214966,-0.006518521894933905
2024-10-10 19:00:00,7372.333282122452,59727.28,Mixed: 0.0763 BTC + $2812.50 cash,0.0763442313482625,2812.5,2,0,0.0,0.0,7372.333282122452,0.0018566055044373364,7406.9535214966,-0.004674018714127513
2024-10-10 20:00:00,7377.8720561067685,59799.83,Mixed: 0.0881 BTC + $2109.38 cash,0.0881022079177611,2109.375,3,0,0.0,0.0,7377.8720561067685,0.0007512918600340868,7406.9535214966,-0.0039262384063070855
2024-10-10 21:00:00,7413.019550933479,60198.77,Mixed: 0.0969 BTC + $1582.03 cash,0.09686224985881738,1582.03125,4,0,0.0,0.0,7413.019550933479,0.004763906795810957,7413.019550933479,0.0
2024-10-10 22:00:00,7408.102823130646,60148.01,Mixed: 0.1034 BTC + $1186.52 cash,0.10343782588369334,1186.5234375,5,0,0.0,0.0,7408.102823130646,-0.0006632557447138199,7413.019550933479,-0.000663255744713836
2024-10-10 23:00:00,7426.554062511779,60326.39,Mixed: 0.1084 BTC + $889.89 cash,0.10835492533842617,889.892578125,6,0,0.0,0.0,7426.554062511779,0.0024906834882909568,7426.554062511779,0.0
2024-10-11 00:00:00,7412.210037495478,60194.01,Mixed: 0.1121 BTC + $667.42 cash,0.11205086027499626,667.41943359375,7,0,0.0,0.0,7412.210037495478,-0.001931450965759196,7426.554062511779,-0.0019314509657591887
2024-10-11 01:00:00,7455.298075305625,60578.55,Mixed: 0.1148 BTC + $500.56 cash,0.11480521570936103,500.5645751953125,8,0,0.0,0.0,7455.298075305625,0.0058131161410943655,7455.298075305625,0.0
