timestamp,signal,price,btc_amount,usd_amount,reason,portfolio_value,position_type,position_size_pct,kelly_multiplier
2025-05-10 00:00:00,BUY,102865.7,0.05646579864686381,5808.3939038686985,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16229.256,BUY,0.7260492379835873,1.0
2025-05-10 01:00:00,BUY,102987.5,0.015450554058078077,1591.213936056316,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16245.877534275189,BUY,0.7260492379835873,1.0
2025-05-10 02:00:00,BUY,103147.96,0.004226106559099794,435.91427031376315,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16270.254032230227,BUY,0.7260492379835873,1.0
2025-05-10 03:00:00,BUY,103226.24,0.001156867154381327,119.41904652628392,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16282.476863941412,BUY,0.7260492379835873,1.0
2025-05-12 14:00:00,SELL,102799.99,0.11420705608142759,11740.484223100197,Trend Reversal,16215.42802605556,SELL,,1.0
2025-05-12 15:00:00,SELL,102527.26,0.03128711004115827,3207.7816658384445,Trend Reversal,16203.675471166553,SELL,,1.0
2025-05-12 16:00:00,SELL,102856.06,0.008571127637066663,881.5924185057869,Trend Reversal,16207.557007871823,SELL,,1.0
2025-05-12 17:00:00,SELL,102556.19,0.002348066947514346,240.80880000200128,Trend Reversal,16206.587218498438,SELL,,1.0
2025-05-12 18:00:00,BUY,101630.59,0.09741836435912718,9900.685846653067,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16205.767168636099,BUY,0.6143493552168817,1.0
2025-05-12 19:00:00,SELL,101860.0,0.06039320179376751,6151.651534713159,Trend Reversal,16228.319164997547,SELL,,1.0
2025-05-12 20:00:00,SELL,102678.51,0.023290677212283416,2391.4520330482146,Trend Reversal,16259.34980260324,SELL,,1.0
2025-05-12 21:00:00,SELL,102510.1,0.008982064684352578,920.7523489994512,Trend Reversal,16256.887572439497,SELL,,1.0
2025-05-12 22:00:00,SELL,102856.38,0.0034639390370042474,356.28822988694293,Trend Reversal,16258.840032875154,SELL,,1.0
2025-05-12 23:00:00,SELL,102791.32,0.001335870323110102,137.3158738613139,Trend Reversal,16258.698563331021,SELL,,1.0
2025-05-13 00:00:00,BUY,102260.01,0.09715982839972813,9935.565023754481,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16258.253018974598,BUY,0.6143493552168817,1.0
2025-05-13 01:00:00,SELL,102400.48,0.06020525718180989,6165.04723394078,Trend Reversal,16272.018854983886,SELL,,1.0
2025-05-13 02:00:00,SELL,102067.99,0.023218196251498447,2369.834622815981,Trend Reversal,16259.453011126307,SELL,,1.0
2025-05-13 03:00:00,SELL,101719.4,0.008954112355091356,910.8069362924796,Trend Reversal,16254.372328613406,SELL,,1.0
2025-05-13 04:00:00,BUY,102745.71,0.07555448132527294,7762.89882744691,Markov Aggressive: UP-NEUTRAL→FLAT-NEUTRAL (75%),16260.141052535297,BUY,0.495,1.0
2025-05-13 05:00:00,SELL,102477.15,0.04018178387345109,4117.714693267228,Trend Reversal,16238.340608339227,SELL,,1.0
2025-05-13 06:00:00,BUY,102552.0,0.07211164438338155,7395.1933548045445,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16241.408974589893,BUY,0.6143493552168817,1.0
2025-05-13 07:00:00,BUY,102665.5,0.027779157414868715,2851.961085576204,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16254.24641268633,BUY,0.6143493552168817,1.0
2025-05-13 08:00:00,BUY,102722.0,0.010707157488647272,1099.860631548825,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16262.206377833121,BUY,0.6143493552168817,1.0
2025-05-13 09:00:00,BUY,103457.03,0.004099885350742931,424.161961728372,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16373.630675409899,BUY,0.6143493552168817,1.0
2025-05-13 10:00:00,BUY,103557.72,0.0015795860900859832,163.57833403301902,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16389.307240635353,BUY,0.6143493552168817,1.0
2025-05-13 11:00:00,BUY,103729.2,0.0006081613469725215,63.08408999238208,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16416.27606619554,BUY,0.6143493552168817,1.0
2025-05-14 16:00:00,SELL,103363.65,0.09699294120024486,10025.54442669269,Trend Reversal,16358.563350531935,SELL,,1.0
2025-05-14 17:00:00,SELL,103246.79,0.037405390313285505,3861.9864785438226,Trend Reversal,16351.448190607225,SELL,,1.0
2025-05-14 18:00:00,SELL,103523.81,0.01442541289268276,1493.3737034736403,Trend Reversal,16357.952841170618,SELL,,1.0
2025-05-14 19:00:00,SELL,103321.72,0.0055631697833258146,574.7962706652505,Trend Reversal,16356.122838466186,SELL,,1.0
2025-05-14 20:00:00,BUY,103555.51,0.09489309614967692,9826.702967258829,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16356.939283403597,BUY,0.6143493552168817,1.0
2025-05-14 21:00:00,BUY,103647.39,0.03656314293505654,3789.6743354155496,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16365.978925789106,BUY,0.6143493552168817,1.0
2025-05-14 22:00:00,SELL,103511.46,0.0829054957349198,8581.668905545323,Trend Reversal,16347.635382429697,SELL,,1.0
2025-05-14 23:00:00,SELL,103507.82,0.03197255788623589,3309.409766628085,Trend Reversal,16347.445946061418,SELL,,1.0
2025-05-15 00:00:00,BUY,103801.85,0.08445674972126209,8766.76686605399,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16353.347245900366,BUY,0.6143493552168817,1.0
2025-05-15 01:00:00,SELL,103033.52,0.06421618729916337,6616.419818412095,Trend Reversal,16273.035900623301,SELL,,1.0
2025-05-15 02:00:00,SELL,103047.62,0.02476501403743584,2551.975755824354,Trend Reversal,16273.60428519954,SELL,,1.0
