timestamp,portfolio_value,btc_price,position,btc_holdings,cash_balance,active_positions,market_regime,portfolio_heat,position_size_pct,stop_losses_today,daily_return,running_max,drawdown
2025-03-26 09:00:00,8510.34938752445,87939.99,Mixed: 0.0399 BTC + $5000.00 cash,0.039917555,5000.0,0,SIDEWAYS,0.0,0.15,0,,8510.34938752445,0.0
2025-03-26 10:00:00,8521.06645269085,88208.47,Mixed: 0.0399 BTC + $5000.00 cash,0.039917555,5000.0,0,SIDEWAYS,0.0,0.15,0,0.0012592979063950072,8521.06645269085,0.0
2025-03-26 11:00:00,8510.9469533228,87954.96,Mixed: 0.0399 BTC + $5000.00 cash,0.039917555,5000.0,0,SIDEWAYS,0.0,0.15,0,-0.0011875860168716335,8521.06645269085,-0.0011875860168715857
2025-03-26 12:00:00,8505.28704319935,87813.17,Mixed: 0.0399 BTC + $5000.00 cash,0.039917555,5000.0,0,SIDEWAYS,0.0,0.15,0,-0.0006650153213844101,8521.06645269085,-0.0018518115753593184
2025-03-26 13:00:00,8466.49276819705,86841.31,Mixed: 0.0399 BTC + $5000.00 cash,0.039917555,5000.0,0,SIDEWAYS,0.0,0.15,0,-0.004561195266574836,8521.06645269085,-0.006404560367742044
2025-03-26 14:00:00,8463.7715884727,86773.14,Mixed: 0.0399 BTC + $5000.00 cash,0.039917555,5000.0,0,SIDEWAYS,0.0,0.15,0,-0.00032140578145545273,8521.06645269085,-0.006723907686467585
2025-03-26 15:00:00,8462.9484884886,86752.52,Mixed: 0.0399 BTC + $5000.00 cash,0.039917555,5000.0,0,SIDEWAYS,0.0,0.15,0,-9.724978698866238e-05,8521.06645269085,-0.006820503574866027
2025-03-26 16:00:00,8453.42695409445,86513.99,Mixed: 0.0399 BTC + $5000.00 cash,0.039917555,5000.0,0,SIDEWAYS,0.0,0.15,0,-0.0011250847629643568,8521.06645269085,-0.007937914693182571
2025-03-26 17:00:00,8455.66233717445,86569.99,Mixed: 0.0399 BTC + $5000.00 cash,0.039917555,5000.0,0,SIDEWAYS,0.0,0.15,0,0.00026443513289220455,8521.06645269085,-0.0076755786238171765
2025-03-26 18:00:00,8440.83456219415,86198.53,Mixed: 0.0399 BTC + $5000.00 cash,0.039917555,5000.0,0,SIDEWAYS,0.0,0.15,0,-0.0017535911900256052,8521.06645269085,-0.009415709986789667
2025-03-26 19:00:00,8455.55056802045,86567.19,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.0,0.13931116389548692,0,0.0017434301925798312,8521.06645269085,-0.007688695427285478
2025-03-26 20:00:00,8489.739767809335,87280.0,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005598394989466838,0.13931116389548692,0,0.004043403148482394,8521.06645269085,-0.003676380774101589
2025-03-26 21:00:00,8481.56910496224,87109.65,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005442178051480161,0.13931116389548692,0,-0.0009624161718213564,8521.06645269085,-0.0046352587376121916
2025-03-26 22:00:00,8468.131038570282,86829.48,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.00518459669761344,0.13931116389548692,0,-0.0015843844724552358,8521.06645269085,-0.006212299178097748
2025-03-26 23:00:00,8471.953287600427,86909.17,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005257944865550494,0.13931116389548692,0,0.000451368668332508,8521.06645269085,-0.005763734546972496
2025-03-27 00:00:00,8489.99349722795,87285.29,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005603241291784125,0.13931116389548692,0,0.002129403812214825,8521.06645269085,-0.0036466040530745113
2025-03-27 01:00:00,8494.481965846859,87378.87,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005688924427286926,0.13931116389548692,0,0.0005286775096322582,8521.06645269085,-0.003119854420991607
2025-03-27 02:00:00,8503.907845874512,87575.39,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005868566425719052,0.13931116389548692,0,0.0011096474235334775,8521.06645269085,-0.0020136689358782518
2025-03-27 03:00:00,8508.45435090108,87670.18,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005955073150796246,0.13931116389548692,0,0.0005346371467058741,8521.06645269085,-0.0014801083713866228
2025-03-27 04:00:00,8501.328343391877,87521.61,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005819444879508712,0.13931116389548692,0,-0.0008375208017009639,8521.06645269085,-0.002316389551537833
2025-03-27 05:00:00,8491.405076961382,87314.72,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005630197568849863,0.13931116389548692,0,-0.001167260694995731,8521.06645269085,-0.00348094641605576
2025-03-27 06:00:00,8493.225789386832,87352.68,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005664953629067746,0.13931116389548692,0,0.00021441827459023344,8521.06645269085,-0.0032672745199899137
2025-03-27 07:00:00,8495.494964962389,87399.99,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005708249667216382,0.13931116389548692,0,0.0002671747616074249,8521.06645269085,-0.0030009726916735507
2025-03-27 08:00:00,8497.165550151494,87434.82,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005740109777450634,0.13931116389548692,0,0.0001966436559606155,8521.06645269085,-0.0028049191579544146
2025-03-27 09:00:00,8496.241764026254,87415.56,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.005722493590631857,0.13931116389548692,0,-0.00010871697388825652,8521.06645269085,-0.0029133311895198676
2025-03-27 10:00:00,8485.691128825343,87195.59,Mixed: 0.0480 BTC + $4303.44 cash,0.047963973273221466,4303.444180522565,1,SIDEWAYS,0.00552102565369048,0.13931116389548692,0,-0.0012418002563889807,8521.06645269085,-0.004151513670490763
2025-03-27 11:00:00,8473.600850082361,86943.52,Mixed: 0.0549 BTC + $3703.93 cash,0.054859459188075825,3703.9263629747065,2,SIDEWAYS,0.00528954083988649,0.13931116389548692,0,-0.0014247842113781495,8521.06645269085,-0.00557038287073791
2025-03-27 12:00:00,8463.590644564312,86761.05,Mixed: 0.0608 BTC + $3187.93 cash,0.06080680874884283,3187.928070365522,3,SIDEWAYS,0.009223753939850374,0.13931116389548692,0,-0.0011813402230235193,8521.06645269085,-0.006745142576418597
2025-03-27 13:00:00,8440.653100168074,86383.83,Mixed: 0.0659 BTC + $2743.81 cash,0.06594797891804828,2743.8141004678077,4,SIDEWAYS,0.011983211442308803,0.13931116389548692,0,-0.0027101434083380838,8521.06645269085,-0.009437005681064927
2025-03-27 14:00:00,8500.896578909711,87297.33,Mixed: 0.0659 BTC + $2743.81 cash,0.06594797891804828,2743.8141004678077,4,SIDEWAYS,0.017830091196443344,0.13931116389548692,0,0.007137300636183896,8521.06645269085,-0.002367059791532203
2025-03-27 15:00:00,8479.578235244664,86974.07,Mixed: 0.0703 BTC + $2361.57 cash,0.07034289726381523,2361.570164618789,5,SIDEWAYS,0.01688258100181497,0.13931116389548692,0,-0.0025077759113005804,8521.06645269085,-0.004868899647306937
2025-03-27 16:00:00,8469.81253081753,86835.24,Mixed: 0.0703 BTC + $2361.57 cash,0.07034289726381523,2361.570164618789,5,SIDEWAYS,0.0191111493569949,0.13931116389548692,0,-0.001151673368204098,8521.06645269085,-0.006014965633454793
2025-03-27 17:00:00,8475.285911653626,86913.05,Mixed: 0.0703 BTC + $2361.57 cash,0.07034289726381523,2361.570164618789,5,SIDEWAYS,0.019378136607512277,0.13931116389548692,0,0.0006462221939600443,8521.06645269085,-0.005372630443782884
