timestamp,signal,price,btc_amount,usd_amount,reason,portfolio_value,position_type,position_size_pct,kelly_multiplier
2025-03-26 09:00:00,BUY,87939.99,0.0494258449829161,4346.508313539192,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),7758.7998,BUY,0.724418052256532,1.0
2025-03-26 10:00:00,BUY,88208.47,0.013579412803875937,1197.8192269283065,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),7777.439250861013,BUY,0.724418052256532,1.0
2025-03-26 11:00:00,BUY,87954.96,0.0037530271812013538,330.09735560147783,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),7756.396587959483,BUY,0.724418052256532,1.0
2025-03-26 12:00:00,BUY,87813.17,0.0010359365480328685,90.96887220162344,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),7744.095130733871,BUY,0.724418052256532,1.0
2025-03-26 14:00:00,SELL,86773.14,0.06359971895001826,5518.747316410588,Trend Reversal,7652.786506530559,SELL,,1.0
2025-03-26 15:00:00,SELL,86752.52,0.01752693442418318,1520.5057291726398,Trend Reversal,7652.287615887648,SELL,,1.0
2025-03-26 16:00:00,SELL,86513.99,0.0048301067265884385,417.87180504300494,Trend Reversal,7650.697200858779,SELL,,1.0
2025-03-26 17:00:00,SELL,86569.99,0.0013310902195220688,115.23246699312331,Trend Reversal,7650.800098698031,SELL,,1.0
2025-03-26 18:00:00,BUY,86198.53,0.05409412157480419,4662.833761389406,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),7650.612002053672,BUY,0.6129691211401426,1.0
2025-03-26 19:00:00,SELL,86567.19,0.033468416067363435,2897.2667327025033,Trend Reversal,7670.741019718451,SELL,,1.0
2025-03-26 20:00:00,BUY,87280.0,0.04102424027842784,3580.595691501182,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),7685.804175313227,BUY,0.6129691211401426,1.0
2025-03-26 21:00:00,BUY,87109.65,0.01590869780011195,1385.8010973235216,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),7675.215846715414,BUY,0.6129691211401426,1.0
2025-03-26 22:00:00,SELL,86829.48,0.04785144350252774,4154.915956573863,Trend Reversal,7653.344371524027,SELL,,1.0
2025-03-26 23:00:00,SELL,86909.17,0.018519986233496124,1609.5566319645743,Trend Reversal,7655.752091019264,SELL,,1.0
2025-03-27 00:00:00,BUY,87285.29,0.04662631599270537,4069.791513054926,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),7660.150282226641,BUY,0.6129691211401426,1.0
2025-03-27 01:00:00,BUY,87378.87,0.018026497551113182,1575.134986074037,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),7665.607858565813,BUY,0.6129691211401426,1.0
2025-03-27 02:00:00,BUY,87575.39,0.006961155159950115,609.6258779831437,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),7680.61145281662,BUY,0.6129691211401426,1.0
2025-03-27 03:00:00,BUY,87670.18,0.0026912690190841215,235.94403933152833,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),7688.508175836529,BUY,0.6129691211401426,1.0
