timestamp,signal,price,btc_amount,usd_amount,reason,regime,risk_mode,portfolio_value
2025-05-10 00:00:00,BUY,102865.7,0.03110852305481808,3200.0,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16229.256
2025-05-10 01:00:00,BUY,102987.5,0.018643039203786866,1920.0,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16242.789018108078
2025-05-10 02:00:00,BUY,103147.96,0.011168422526242883,1152.0,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16263.608953788096
2025-05-10 03:00:00,BUY,103226.24,0.006695971876918117,691.2,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16274.640170197054
2025-05-10 04:00:00,BUY,103152.48,0.0040204559308704944,414.72,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16263.75201723368
2025-05-10 05:00:00,BUY,103361.0,0.0024074070490804076,248.832,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16295.371241987497
2025-05-10 06:00:00,BUY,103930.71,0.0014365263164275504,149.29919999999998,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16383.13154647558
2025-05-10 07:00:00,BUY,103759.71,0.000863336260288314,89.57951999999999,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16356.544407316738
2025-05-10 08:00:00,BUY,103634.92,0.0005186254980464112,53.74771199999998,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,16337.034279212698
2025-05-18 13:00:00,SELL,104740.0,0.06274492308659166,6571.90324408961,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,16510.379678224024
2025-05-18 14:00:00,SELL,105270.97,0.03764695385195499,3963.1313495405384,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,16560.353185940956
2025-05-18 15:00:00,SELL,105518.0,0.022588172311172994,2383.458765930352,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,16574.303076456028
2025-05-18 16:00:00,SELL,105822.22,0.013552903386703797,1434.1983238265143,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,16584.610737126786
