timestamp,signal,price,btc_amount,usd_amount,reason,portfolio_value,position_type,borrowed_amount,leverage,penalty,loan_repayment
2024-10-10 16:00:00,BUY,60298.12,0.06219099368272178,3750.0,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7406.953521496602,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $2500.00)",2500.0,3.0,,
2024-10-10 19:00:00,BUY,59727.28,0.0470796175549933,2811.9375,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7347.915877566555,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $1874.62)",1874.625,3.0,,
2024-10-10 20:00:00,BUY,59799.83,0.03526138833714076,2108.625028125,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7358.302016527102,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $1405.75)",1405.75001875,3.0,,
2024-10-10 21:00:00,BUY,60198.77,0.026263580517797026,1581.035242967344,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),7431.3082843273205,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $1054.02)",1054.0234953115628,3.0,,
2024-10-10 22:00:00,LIQUIDATION,60148.01,0.06219099368272178,3553.6312844413724,Forced liquidation - equity below 15%,7232.895820241696,LIQUIDATION,,3.0,187.03322549691435,
2024-10-10 22:00:00,LIQUIDATION,60148.01,0.0470796175549933,2690.158042119217,Forced liquidation - equity below 15%,7091.308554867002,LIQUIDATION,,3.0,141.58726537469565,
2024-10-10 22:00:00,LIQUIDATION,60148.01,0.03526138833714076,2014.8572214004143,Forced liquidation - equity below 15%,6985.26343795119,LIQUIDATION,,3.0,106.04511691581129,
2024-10-10 22:00:00,LIQUIDATION,60148.01,0.026263580517797026,1500.7169984392476,Forced liquidation - equity below 15%,6906.278332770178,LIQUIDATION,,3.0,78.98510518101304,
2024-10-10 22:00:00,BUY,60148.01,0.05617787897872216,3378.98762659097,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6906.278332770178,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $2252.66)",2252.6584177273135,3.0,,
2024-10-10 23:00:00,BUY,60326.39,0.04200602374121671,2534.071770561898,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6923.194570441528,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $1689.38)",1689.381180374599,3.0,,
2024-10-11 00:00:00,BUY,60194.01,0.03156889157162924,1900.2581749515662,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6904.518495508755,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $1266.84)",1266.8387833010443,3.0,,
2024-10-11 01:00:00,BUY,60578.55,0.02351992521007963,1424.8029653350695,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6969.242643787192,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $949.87)",949.8686435567131,3.0,,
2024-10-11 02:00:00,LIQUIDATION,60553.31,0.05617787897872216,3231.6686948939937,Forced liquidation - equity below 15%,6793.66282050922,LIQUIDATION,,3.0,170.08782604705232,
2024-10-11 02:00:00,LIQUIDATION,60553.31,0.04200602374121671,2416.423588595792,Forced liquidation - equity below 15%,6666.482631635758,LIQUIDATION,,3.0,127.18018887346275,
2024-10-11 02:00:00,LIQUIDATION,60553.31,0.03156889157162924,1816.0208338085897,Forced liquidation - equity below 15%,6570.902587751096,LIQUIDATION,,3.0,95.58004388466263,
2024-10-11 02:00:00,LIQUIDATION,60553.31,0.02351992521007963,1352.9988563016286,Forced liquidation - equity below 15%,6499.692121629957,LIQUIDATION,,3.0,71.21046612113835,
2024-10-11 02:00:00,BUY,60553.31,0.050565593019682664,3061.9140294546805,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6499.692121629958,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $2041.28)",2041.2760196364536,2.9999999999999996,,
2024-10-11 03:00:00,BUY,60614.0,0.03788369727108486,2296.2824263895377,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6504.979416281307,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $1530.85)",1530.8549509263585,3.0,,
2024-10-11 04:00:00,BUY,60699.99,0.028368108626860743,1721.943909969361,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6515.660468210803,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $1147.96)",1147.9626066462406,3.0,,
2024-10-11 05:00:00,BUY,60600.0,0.021305345304599505,1291.10392545873,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6499.516530810859,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $860.74)",860.7359503058199,3.0,,
2024-10-11 06:00:00,LIQUIDATION,60800.0,0.050565593019682664,2920.6686528168707,Forced liquidation - equity below 15%,6380.847104922718,LIQUIDATION,,2.9999999999999996,153.71940277983532,
2024-10-11 06:00:00,LIQUIDATION,60800.0,0.03788369727108486,2188.162354377861,Forced liquidation - equity below 15%,6265.680665218621,LIQUIDATION,,3.0,115.16643970409797,
2024-10-11 06:00:00,LIQUIDATION,60800.0,0.028368108626860743,1638.5419542874765,Forced liquidation - equity below 15%,6179.441614992963,LIQUIDATION,,3.0,86.23905022565667,
2024-10-11 06:00:00,LIQUIDATION,60800.0,0.021305345304599505,1230.5967447936673,Forced liquidation - equity below 15%,6114.673365266981,LIQUIDATION,,3.0,64.7682497259825,
2024-10-11 06:00:00,BUY,60800.0,0.04548954795970783,2765.7645159502363,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6114.67336526698,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $1843.84)",1843.8430106334908,3.0,,
2024-10-11 07:00:00,BUY,60674.69,0.03418534315934502,2074.18509873688,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6103.786616894037,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $1382.79)",1382.7900658245867,3.0,,
2024-10-11 08:00:00,BUY,60669.39,0.02563725836986206,1555.3968265719257,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6102.830113621958,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $1036.93)",1036.931217714617,3.0,,
2024-10-11 09:00:00,BUY,61086.0,0.01909157339827262,1166.2278526068812,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6162.907904379669,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $777.49)",777.4852350712541,2.9999999999999996,,
2024-10-11 10:00:00,BUY,61160.0,0.014295173491505359,874.2928107404678,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),6174.5635739903955,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $582.86)",582.8618738269786,3.0,,
2024-10-11 11:00:00,LIQUIDATION,61174.87,0.04548954795970783,2643.676323654197,Forced liquidation - equity below 15%,6037.5163503423955,LIQUIDATION,,3.0,139.14085913969458,
2024-10-11 11:00:00,LIQUIDATION,61174.87,0.03418534315934502,1986.7197274944049,Forced liquidation - equity below 15%,5932.95215415848,LIQUIDATION,,3.0,104.56419618391607,
2024-10-11 11:00:00,LIQUIDATION,61174.87,0.02563725836986206,1489.9381505360873,Forced liquidation - equity below 15%,5854.534356761844,LIQUIDATION,,3.0,78.41779739663617,
2024-10-11 11:00:00,LIQUIDATION,61174.87,0.01909157339827262,1109.5282946980465,Forced liquidation - equity below 15%,5796.138130725104,LIQUIDATION,,2.9999999999999996,58.39622603673929,
2024-10-11 11:00:00,LIQUIDATION,61174.87,0.014295173491505359,830.780110971772,Forced liquidation - equity below 15%,5752.41286172659,LIQUIDATION,,3.0,43.72526899851432,
2024-10-11 11:00:00,BUY,61174.87,0.04058604812585309,2482.8462179128064,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),5752.412861726591,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $1655.23)",1655.230811941871,3.0000000000000004,,
2024-10-11 12:00:00,BUY,61379.0,0.030336279853430476,1862.0105211237092,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),5768.680539151475,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $1241.34)",1241.3403474158063,3.0,,
2024-10-11 13:00:00,SELL,61676.0,0.027709970744820886,1709.040155657573,Technical: RSI overbought (68.0) or above BB upper,5801.310327280387,SELL,,1.0,,1130.1025720121474
2024-10-11 14:00:00,SELL,61753.65,0.020782478058615664,1283.3938761644313,Technical: RSI overbought (69.0) or above BB upper,5807.588718106659,SELL,,1.0,,848.6528847226537
2024-10-11 15:00:00,SELL,62259.05,0.01558685854396175,970.4230054314418,Markov exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (73%),5839.00732976887,SELL,,1.0,,637.8038603798856
2024-10-11 16:00:00,SELL,62272.0,0.011690143907971313,727.9686414371896,Markov exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (73%),5839.584878039078,SELL,,1.0,,280.0118422429906
2024-10-11 17:00:00,SELL,62918.0,0.008767607930978485,551.6403558013044,Markov exit: UP-OVERBOUGHT→FLAT-OVERBOUGHT (80%),5862.2403769327275,SELL,,1.0,,0.0
2024-10-11 18:00:00,SELL,62922.08,0.006575705948233864,413.7570957312471,Markov exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (73%),5862.347692453803,SELL,,1.0,,0.0
2024-10-11 19:00:00,SELL,63086.01,0.004931779461175398,311.12628840550576,Markov exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (73%),5865.581558882085,SELL,,1.0,,0.0
2024-10-11 20:00:00,SELL,62993.68,0.0036988345958815488,233.0032029058916,Markov exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (73%),5864.215505289135,SELL,,1.0,,0.0
2024-10-11 21:00:00,SELL,62848.48,0.0027741259469111616,174.34959909192722,Markov exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (73%),5862.604292939169,SELL,,1.0,,0.0
2024-10-11 22:00:00,BUY,62450.27,0.06412568947656337,4004.666621747541,Markov: FLAT-NEUTRAL→FLAT-NEUTRAL (95%),5859.29023885921,"LEVERAGED BUY (Leverage: 3.0x, Borrowed: $2669.78)",2669.777747831694,3.0,,
2024-10-11 23:00:00,SELL,62540.0,0.018112016829324215,1132.7255325059364,Technical: RSI overbought (65.0) or above BB upper,5865.524026164809,SELL,,1.0,,754.0668941572274
2024-10-12 00:00:00,SELL,62840.0,0.013584012621993161,853.6193531660502,Technical: RSI overbought (68.7) or above BB upper,5881.633270225833,SELL,,1.0,,565.5501706179205
2024-10-12 01:00:00,SELL,62733.67,0.010188009466494872,639.1312238279653,Technical: RSI overbought (66.1) or above BB upper,5877.165089971237,SELL,,1.0,,424.1626279634404
